garden,garden.city,garden.country,garden.lon,garden.lat
belgrade ; serbia,belgrade,serbia,20.46123,44.8125449
bournemouth ; uk,bournemouth,uk,-1.8667169,50.7220101
frankfurt am main ; germany,frankfurt am main,germany,8.6821267,50.1109221
genova ; italy,genova,italy,8.946256,44.4056499
havana ; cuba,havana,cuba,-82.3665956,23.1135925
london ; uk,london,uk,-0.1275862,51.5072178
lyon ; france,lyon,france,4.835659,45.764043
nijmegen ; the netherlands,nijmegen,the netherlands,5.842828099999999,51.8448837
oro verde ; argentina,oro verde,argentina,-60.51904949999999,-31.8239453
regensburg ; germany,regensburg,germany,12.1016236,49.0134297
santiago ; chile,santiago,chile,-70.6692655,-33.4488897
talca ; chile,talca,chile,-71.6484804,-35.4232444
tehran ; iran,tehran,iran,51.3346954,35.7218583
